,playerID,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,years,inducted,name
1175,delahed01,1902,1,WS1,AL,123,473,103,178,43,14,10,93,16,,62,,,4,0,,,8,Y,Ed Delahanty
1260,delahed01,1903,1,WS1,AL,42,156,22,52,11,1,1,21,3,,12,,,2,1,,,8,Y,Ed Delahanty
8230,kraneed01,1962,1,NYN,NL,3,6,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,N,Ed Kranepool
8383,kraneed01,1963,1,NYN,NL,86,273,22,57,12,2,2,14,4,2,18,50,0,0,1,2,10,1,N,Ed Kranepool
8559,kraneed01,1964,1,NYN,NL,119,420,47,108,19,4,10,45,0,1,32,50,2,2,3,4,9,1,N,Ed Kranepool
8769,kraneed01,1965,1,NYN,NL,153,525,44,133,24,4,10,53,1,4,39,71,7,2,1,8,13,1,N,Ed Kranepool
8985,kraneed01,1966,1,NYN,NL,146,464,51,118,15,2,16,57,1,1,41,66,9,3,0,4,5,1,N,Ed Kranepool
9206,kraneed01,1967,1,NYN,NL,141,469,37,126,17,1,10,54,0,4,37,51,15,1,5,4,13,1,N,Ed Kranepool
9438,kraneed01,1968,1,NYN,NL,127,373,29,86,13,1,3,20,0,3,19,39,5,2,10,1,6,1,N,Ed Kranepool
9688,kraneed01,1969,1,NYN,NL,112,353,36,84,9,2,11,49,3,2,37,32,7,0,2,4,10,1,N,Ed Kranepool
9962,kraneed01,1970,1,NYN,NL,43,47,2,8,0,0,0,3,0,0,5,2,0,0,0,0,0,1,N,Ed Kranepool
10250,kraneed01,1971,1,NYN,NL,122,421,61,118,20,4,14,58,0,4,38,33,6,1,5,2,7,1,N,Ed Kranepool
10545,kraneed01,1972,1,NYN,NL,122,327,28,88,15,1,8,34,1,0,34,35,13,1,2,4,11,1,N,Ed Kranepool
10864,kraneed01,1973,1,NYN,NL,100,284,28,68,12,2,1,35,1,0,30,28,4,0,4,2,7,1,N,Ed Kranepool
11190,kraneed01,1974,1,NYN,NL,94,217,20,65,11,1,4,24,1,0,18,14,0,0,0,2,5,1,N,Ed Kranepool
11491,kraneed01,1975,1,NYN,NL,106,325,42,105,16,0,4,43,1,1,27,21,6,0,0,5,12,1,N,Ed Kranepool
11776,kraneed01,1976,1,NYN,NL,123,415,47,121,17,1,10,49,1,0,35,38,4,0,2,3,10,1,N,Ed Kranepool
12064,kraneed01,1977,1,NYN,NL,108,281,28,79,17,0,10,40,1,4,23,20,7,0,0,5,10,1,N,Ed Kranepool
12343,kraneed01,1978,1,NYN,NL,66,81,7,17,2,0,3,19,0,0,8,12,2,1,0,3,4,1,N,Ed Kranepool
12597,kraneed01,1979,1,NYN,NL,82,155,7,36,5,0,2,17,0,1,13,18,2,1,0,5,6,1,N,Ed Kranepool
1399,walshed01,1904,1,CHA,AL,18,41,5,9,1,1,1,4,1,,3,,,0,1,,,9,Y,Ed Walsh
1485,walshed01,1905,1,CHA,AL,29,58,5,9,2,0,0,2,0,,4,,,1,1,,,9,Y,Ed Walsh
1574,walshed01,1906,1,CHA,AL,42,99,12,14,3,2,0,4,0,,3,,,1,3,,,9,Y,Ed Walsh
1669,walshed01,1907,1,CHA,AL,57,154,7,25,8,2,1,10,2,,0,,,1,1,,,9,Y,Ed Walsh
1769,walshed01,1908,1,CHA,AL,66,157,10,27,7,1,1,10,2,,7,,,2,8,,,9,Y,Ed Walsh
1873,walshed01,1909,1,CHA,AL,32,84,5,18,5,0,0,11,4,,6,,,0,1,,,9,Y,Ed Walsh
1972,walshed01,1910,1,CHA,AL,52,138,12,30,3,3,0,4,5,,5,,,0,5,,,9,Y,Ed Walsh
2071,walshed01,1911,1,CHA,AL,63,158,23,34,3,0,0,9,0,,1,,,1,3,,,9,Y,Ed Walsh
2179,walshed01,1912,1,CHA,AL,62,136,12,33,4,1,0,12,0,,14,,,0,4,,,9,Y,Ed Walsh
2294,walshed01,1913,1,CHA,AL,17,32,1,5,1,0,0,2,0,,1,7,,0,1,,,9,Y,Ed Walsh
2408,walshed01,1914,1,CHA,AL,10,16,0,1,1,0,0,0,0,,1,4,,0,1,,,9,Y,Ed Walsh
2539,walshed01,1915,1,CHA,AL,5,11,0,4,0,0,0,0,0,,0,1,,0,1,,,9,Y,Ed Walsh
2659,walshed01,1916,1,CHA,AL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,Y,Ed Walsh
2767,walshed01,1917,1,BSN,NL,4,4,1,1,0,0,0,0,0,,1,2,,1,0,,,9,Y,Ed Walsh
2271,roushed01,1913,1,CHA,AL,9,10,2,1,0,0,0,0,0,,0,2,,0,2,,,20,Y,Edd Roush
2389,roushed01,1914,1,IND,FL,74,166,26,54,8,4,1,30,12,,6,20,,1,16,,,20,Y,Edd Roush
2514,roushed01,1915,1,NEW,FL,145,551,73,164,20,11,3,60,28,,38,25,,6,21,,,20,Y,Edd Roush
2634,roushed01,1916,1,NY1,NL,39,69,4,13,0,1,0,5,4,,1,4,,0,1,,,20,Y,Edd Roush
2635,roushed01,1916,2,CIN,NL,69,272,34,78,7,14,0,15,15,,13,19,,7,8,,,20,Y,Edd Roush
2746,roushed01,1917,1,CIN,NL,136,522,82,178,19,14,4,67,21,,27,24,,5,13,,,20,Y,Edd Roush
2850,roushed01,1918,1,CIN,NL,113,435,61,145,18,10,5,62,24,,22,10,,2,33,,,20,Y,Edd Roush
2963,roushed01,1919,1,CIN,NL,133,504,73,162,19,12,4,71,20,,42,19,,6,20,,,20,Y,Edd Roush
3073,roushed01,1920,1,CIN,NL,149,579,81,196,22,16,4,90,36,24,42,22,,3,26,,,20,Y,Edd Roush
3182,roushed01,1921,1,CIN,NL,112,418,68,147,27,12,4,71,19,17,31,8,,5,9,,,20,Y,Edd Roush
3300,roushed01,1922,1,CIN,NL,49,165,29,58,7,4,1,24,5,3,19,5,,3,2,,,20,Y,Edd Roush
3428,roushed01,1923,1,CIN,NL,138,527,88,185,41,18,6,88,10,15,46,16,,3,16,,,20,Y,Edd Roush
3560,roushed01,1924,1,CIN,NL,121,483,67,168,23,21,3,72,17,13,22,11,,0,14,,,20,Y,Edd Roush
3701,roushed01,1925,1,CIN,NL,134,540,91,183,28,16,8,83,22,20,35,14,,4,11,,,20,Y,Edd Roush
3841,roushed01,1926,1,CIN,NL,144,563,95,182,37,10,7,79,8,,38,17,,0,30,,,20,Y,Edd Roush
3982,roushed01,1927,1,NY1,NL,140,570,83,173,27,4,7,58,18,,26,15,,1,17,,,20,Y,Edd Roush
4125,roushed01,1928,1,NY1,NL,46,163,20,41,5,3,2,13,1,,14,8,,1,2,,,20,Y,Edd Roush
4263,roushed01,1929,1,NY1,NL,115,450,76,146,19,7,8,52,6,,45,16,,3,11,,,20,Y,Edd Roush
4550,roushed01,1931,1,CIN,NL,101,376,46,102,12,5,1,41,2,,17,5,,3,4,,,20,Y,Edd Roush
1504,collied01,1906,1,PHA,AL,6,15,2,3,0,0,0,0,0,,0,,,0,3,,,4,Y,Eddie Collins
1593,collied01,1907,1,PHA,AL,14,23,0,8,0,1,0,2,0,,0,,,0,1,,,4,Y,Eddie Collins
1690,collied01,1908,1,PHA,AL,102,330,39,90,18,7,1,40,8,,16,,,3,15,,,4,Y,Eddie Collins
1795,collied01,1909,1,PHA,AL,153,571,104,198,30,10,3,56,67,,62,,,6,21,,,4,Y,Eddie Collins
1897,collied01,1910,1,PHA,AL,153,581,81,188,16,15,3,81,81,,49,,,6,22,,,4,Y,Eddie Collins
1997,collied01,1911,1,PHA,AL,132,493,92,180,22,13,3,73,38,,62,,,15,18,,,4,Y,Eddie Collins
2098,collied01,1912,1,PHA,AL,153,543,137,189,25,11,0,64,63,,101,,,0,29,,,4,Y,Eddie Collins
2208,collied01,1913,1,PHA,AL,148,534,125,184,23,13,3,73,55,,85,37,,7,26,,,4,Y,Eddie Collins
2324,collied01,1914,1,PHA,AL,152,526,122,181,23,14,2,85,58,30,97,31,,6,28,,,4,Y,Eddie Collins
2438,collied01,1915,1,CHA,AL,155,521,118,173,22,10,4,77,46,30,119,27,,5,35,,,4,Y,Eddie Collins
2565,collied01,1916,1,CHA,AL,155,545,87,168,14,17,0,52,40,21,86,36,,3,39,,,4,Y,Eddie Collins
2683,collied01,1917,1,CHA,AL,156,564,91,163,18,12,0,67,53,,89,16,,3,33,,,4,Y,Eddie Collins
2793,collied01,1918,1,CHA,AL,97,330,51,91,8,2,2,30,22,,73,13,,0,22,,,4,Y,Eddie Collins
2896,collied01,1919,1,CHA,AL,140,518,87,165,19,7,4,80,33,,68,27,,2,40,,,4,Y,Eddie Collins
3007,collied01,1920,1,CHA,AL,153,602,117,224,38,13,3,76,20,8,69,19,,2,33,,,4,Y,Eddie Collins
3119,collied01,1921,1,CHA,AL,139,526,79,177,20,10,2,58,12,10,66,11,,2,13,,,4,Y,Eddie Collins
3232,collied01,1922,1,CHA,AL,154,598,92,194,20,12,1,69,20,12,73,16,,3,27,,,4,Y,Eddie Collins
3355,collied01,1923,1,CHA,AL,145,505,89,182,22,5,5,67,48,29,84,8,,4,39,,,4,Y,Eddie Collins
3484,collied01,1924,1,CHA,AL,152,556,108,194,27,7,6,86,42,17,89,16,,3,28,,,4,Y,Eddie Collins
3619,collied01,1925,1,CHA,AL,118,425,80,147,26,3,3,80,19,6,87,8,,4,17,,,4,Y,Eddie Collins
3765,collied01,1926,1,CHA,AL,106,375,66,129,32,4,1,62,13,8,62,8,,3,15,,,4,Y,Eddie Collins
3902,collied01,1927,1,PHA,AL,95,226,50,76,12,1,1,15,6,2,56,9,,0,8,,,4,Y,Eddie Collins
4039,collied01,1928,1,PHA,AL,36,33,3,10,3,0,0,7,0,0,4,4,,0,0,,,4,Y,Eddie Collins
4181,collied01,1929,1,PHA,AL,9,7,0,0,0,0,0,0,0,0,2,0,,0,0,,,4,Y,Eddie Collins
4318,collied01,1930,1,PHA,AL,3,2,1,1,0,0,0,0,0,0,0,0,,0,0,,,4,Y,Eddie Collins
3242,dyered01,1922,1,SLN,NL,6,3,1,1,1,0,0,0,0,0,0,0,,0,0,,,1,N,Eddie Dyer
3364,dyered01,1923,1,SLN,NL,35,45,17,12,3,0,2,5,1,0,3,5,,0,0,,,1,N,Eddie Dyer
3496,dyered01,1924,1,SLN,NL,50,76,8,18,2,3,0,8,1,0,3,8,,0,3,,,1,N,Eddie Dyer
3628,dyered01,1925,1,SLN,NL,31,31,4,3,1,0,0,0,1,1,3,1,,0,1,,,1,N,Eddie Dyer
3775,dyered01,1926,1,SLN,NL,6,2,1,1,0,0,0,0,0,,0,0,,0,0,,,1,N,Eddie Dyer
3912,dyered01,1927,1,SLN,NL,1,0,0,0,0,0,0,0,0,,1,0,,0,0,,,1,N,Eddie Dyer
7824,fisheed02,1959,1,SFN,NL,17,8,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,1,N,Eddie Fisher
7949,fisheed02,1960,1,SFN,NL,3,5,1,3,0,0,0,1,0,0,0,1,0,0,0,0,0,1,N,Eddie Fisher
8077,fisheed02,1961,1,SFN,NL,15,7,0,1,1,0,0,0,0,0,0,4,0,0,0,0,0,1,N,Eddie Fisher
8207,fisheed02,1962,1,CHA,AL,57,46,2,6,2,1,0,2,0,0,2,12,0,0,8,0,4,1,N,Eddie Fisher
8352,fisheed02,1963,1,CHA,AL,33,36,2,5,0,0,0,0,0,0,2,15,0,0,1,0,2,1,N,Eddie Fisher
8525,fisheed02,1964,1,CHA,AL,59,18,0,3,0,0,0,1,0,0,0,6,0,0,1,0,0,1,N,Eddie Fisher
8726,fisheed02,1965,1,CHA,AL,82,29,3,4,1,0,0,1,0,0,1,12,0,0,1,0,0,1,N,Eddie Fisher
8938,fisheed02,1966,1,CHA,AL,23,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,N,Eddie Fisher
8939,fisheed02,1966,2,BAL,AL,44,13,0,2,1,0,0,1,0,0,0,8,0,0,0,0,0,1,N,Eddie Fisher
9159,fisheed02,1967,1,BAL,AL,46,5,1,1,0,0,0,0,0,0,1,3,0,0,2,0,0,1,N,Eddie Fisher
9393,fisheed02,1968,1,CLE,AL,54,12,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,1,N,Eddie Fisher
9636,fisheed02,1969,1,CAL,AL,52,13,0,0,0,0,0,0,0,0,0,8,0,0,2,0,0,1,N,Eddie Fisher
9906,fisheed02,1970,1,CAL,AL,67,11,1,1,0,0,0,0,0,0,0,3,0,0,3,0,0,1,N,Eddie Fisher
10187,fisheed02,1971,1,CAL,AL,57,16,0,1,0,0,0,0,0,0,2,7,0,0,1,0,0,1,N,Eddie Fisher
10481,fisheed02,1972,1,CAL,AL,43,17,1,2,0,0,0,1,0,0,0,8,0,0,0,0,0,1,N,Eddie Fisher
10482,fisheed02,1972,2,CHA,AL,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,N,Eddie Fisher
10794,fisheed02,1973,1,CHA,AL,26,,,,,,,,,,,,,,,,,1,N,Eddie Fisher
10795,fisheed02,1973,2,SLN,NL,6,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,N,Eddie Fisher
1915,fosteed02,1910,1,NYA,AL,30,83,5,11,2,0,0,1,2,,8,,,1,0,,,1,N,Eddie Foster
2116,fosteed02,1912,1,WS1,AL,154,618,98,176,34,9,2,70,27,,53,,,4,3,,,1,N,Eddie Foster
2225,fosteed02,1913,1,WS1,AL,106,409,56,101,11,5,1,41,22,,36,31,,1,3,,,1,N,Eddie Foster
2343,fosteed02,1914,1,WS1,AL,157,616,82,174,16,10,2,50,31,18,60,47,,2,6,,,1,N,Eddie Foster
2458,fosteed02,1915,1,WS1,AL,154,618,75,170,25,10,0,52,20,6,48,30,,2,8,,,1,N,Eddie Foster
2585,fosteed02,1916,1,WS1,AL,158,606,75,153,18,9,1,44,23,16,68,26,,4,7,,,1,N,Eddie Foster
2702,fosteed02,1917,1,WS1,AL,143,554,66,130,16,8,0,43,11,,46,23,,0,18,,,1,N,Eddie Foster
2809,fosteed02,1918,1,WS1,AL,129,519,70,147,13,3,0,29,12,,41,20,,3,12,,,1,N,Eddie Foster
2911,fosteed02,1919,1,WS1,AL,120,478,57,126,12,5,0,26,20,,33,21,,2,13,,,1,N,Eddie Foster
3023,fosteed02,1920,1,BOS,AL,117,386,48,100,17,6,0,41,10,4,42,17,,3,11,,,1,N,Eddie Foster
3132,fosteed02,1921,1,BOS,AL,120,412,51,117,18,6,0,35,13,7,57,15,,0,16,,,1,N,Eddie Foster
3250,fosteed02,1922,1,BOS,AL,48,109,11,23,3,0,0,3,1,1,9,10,,1,3,,,1,N,Eddie Foster
3251,fosteed02,1922,2,SLA,AL,37,144,29,44,4,0,0,12,3,1,20,8,,1,5,,,1,N,Eddie Foster
3371,fosteed02,1923,1,SLA,AL,27,100,9,18,2,0,0,4,0,0,7,7,,1,7,,,1,N,Eddie Foster
1436,granted01,1905,1,CLE,AL,2,8,1,3,0,0,0,0,0,,0,,,0,0,,,5,N,Eddie Grant
1615,granted01,1907,1,PHI,NL,74,268,26,65,4,3,0,19,10,,10,,,1,5,,,5,N,Eddie Grant
1713,granted01,1908,1,PHI,NL,147,598,69,146,13,8,0,32,27,,35,,,3,14,,,5,N,Eddie Grant
1816,granted01,1909,1,PHI,NL,154,631,75,170,18,4,1,37,28,,35,,,3,31,,,5,N,Eddie Grant
1917,granted01,1910,1,PHI,NL,152,579,70,155,15,5,1,67,25,,39,54,,1,34,,,5,N,Eddie Grant
2017,granted01,1911,1,CIN,NL,136,458,49,102,12,7,1,53,28,,51,47,,0,23,,,5,N,Eddie Grant
2120,granted01,1912,1,CIN,NL,96,255,37,61,6,1,2,20,11,,18,27,,1,7,,,5,N,Eddie Grant
2227,granted01,1913,1,CIN,NL,27,94,12,20,1,0,0,9,7,,11,10,,0,1,,,5,N,Eddie Grant
2228,granted01,1913,2,NY1,NL,27,20,8,4,1,0,0,1,1,,2,2,,0,0,,,5,N,Eddie Grant
2346,granted01,1914,1,NY1,NL,88,282,34,78,7,1,0,29,11,,23,21,,1,11,,,5,N,Eddie Grant
2461,granted01,1915,1,NY1,NL,87,192,18,40,2,1,0,10,5,6,9,20,,1,3,,,5,N,Eddie Grant
15980,guarded01,1993,1,MIN,AL,19,,,,,,,,,,,,,,,,,1,N,Eddie Guardado
16220,guarded01,1994,1,MIN,AL,4,,,,,,,,,,,,,,,,,1,N,Eddie Guardado
16457,guarded01,1995,1,MIN,AL,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,N,Eddie Guardado
16692,guarded01,1996,1,MIN,AL,83,,,,,,,,,,,,,,,,,1,N,Eddie Guardado
16919,guarded01,1997,1,MIN,AL,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,N,Eddie Guardado
17144,guarded01,1998,1,MIN,AL,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,N,Eddie Guardado
17357,guarded01,1999,1,MIN,AL,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,N,Eddie Guardado
17543,guarded01,2000,1,MIN,AL,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,N,Eddie Guardado
17719,guarded01,2001,1,MIN,AL,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,N,Eddie Guardado
17876,guarded01,2002,1,MIN,AL,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,N,Eddie Guardado
18027,guarded01,2003,1,MIN,AL,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,N,Eddie Guardado
18167,guarded01,2004,1,SEA,AL,41,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,N,Eddie Guardado
18287,guarded01,2005,1,SEA,AL,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,N,Eddie Guardado
18391,guarded01,2006,1,SEA,AL,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,N,Eddie Guardado
18392,guarded01,2006,2,CIN,NL,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,N,Eddie Guardado
18486,guarded01,2007,1,CIN,NL,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,N,Eddie Guardado
18556,guarded01,2008,1,TEX,AL,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,N,Eddie Guardado
18557,guarded01,2008,2,MIN,AL,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,N,Eddie Guardado
18601,guarded01,2009,1,TEX,AL,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,N,Eddie Guardado
6141,lopated01,1944,1,CHA,AL,30,81,8,25,1,1,0,6,0,0,5,5,,0,1,,1,5,N,Eddie Lopat
6220,lopated01,1945,1,CHA,AL,32,82,13,24,4,0,1,13,0,0,2,9,,0,1,,3,5,N,Eddie Lopat
6322,lopated01,1946,1,CHA,AL,30,87,10,22,2,1,0,10,0,0,8,7,,0,2,,2,5,N,Eddie Lopat
6435,lopated01,1947,1,CHA,AL,35,96,5,19,3,0,0,11,0,0,4,6,,0,4,,2,5,N,Eddie Lopat
6546,lopated01,1948,1,NYA,AL,34,81,6,14,0,0,0,10,0,0,8,6,,0,4,,6,5,N,Eddie Lopat
6662,lopated01,1949,1,NYA,AL,31,76,9,20,8,0,1,4,0,0,7,8,,0,1,,4,5,N,Eddie Lopat
6779,lopated01,1950,1,NYA,AL,36,82,14,19,2,3,0,7,0,0,17,9,,0,5,,0,5,N,Eddie Lopat
6886,lopated01,1951,1,NYA,AL,31,84,7,15,1,0,3,9,0,1,7,10,,0,4,,5,5,N,Eddie Lopat
7004,lopated01,1952,1,NYA,AL,20,52,7,9,2,0,0,4,0,0,3,5,,0,2,,2,5,N,Eddie Lopat
7125,lopated01,1953,1,NYA,AL,26,63,5,12,3,0,0,1,0,0,5,13,,0,5,,2,5,N,Eddie Lopat
7236,lopated01,1954,1,NYA,AL,26,57,2,1,0,0,0,2,0,0,5,6,,0,4,1,1,5,N,Eddie Lopat
7355,lopated01,1955,1,NYA,AL,16,29,0,4,0,0,0,0,0,0,0,3,0,0,0,0,2,5,N,Eddie Lopat
7356,lopated01,1955,2,BAL,AL,10,17,1,3,0,0,0,0,0,0,2,5,0,0,1,0,0,5,N,Eddie Lopat
7010,matheed01,1952,1,BSN,NL,145,528,80,128,23,5,25,58,6,4,59,115,,1,5,,9,5,Y,Eddie Mathews
7131,matheed01,1953,1,ML1,NL,157,579,110,175,31,8,47,135,1,3,99,83,,2,1,,6,5,Y,Eddie Mathews
7241,matheed01,1954,1,ML1,NL,138,476,96,138,21,4,40,103,10,3,113,61,,2,3,7,9,5,Y,Eddie Mathews
7362,matheed01,1955,1,ML1,NL,141,499,108,144,23,5,41,101,3,4,109,98,20,1,1,6,5,5,Y,Eddie Mathews
7489,matheed01,1956,1,ML1,NL,151,552,103,150,21,2,37,95,6,0,91,86,17,1,3,4,4,5,Y,Eddie Mathews
7606,matheed01,1957,1,ML1,NL,148,572,109,167,28,9,32,94,3,1,90,79,5,0,2,2,6,5,Y,Eddie Mathews
7733,matheed01,1958,1,ML1,NL,149,546,97,137,18,1,31,77,5,0,85,85,5,2,8,8,9,5,Y,Eddie Mathews
7860,matheed01,1959,1,ML1,NL,148,594,118,182,16,8,46,114,2,1,80,71,2,3,3,2,6,5,Y,Eddie Mathews
7981,matheed01,1960,1,ML1,NL,153,548,108,152,19,7,39,124,7,3,111,113,3,2,4,6,8,5,Y,Eddie Mathews
8113,matheed01,1961,1,ML1,NL,152,572,103,175,23,6,32,91,12,7,93,95,3,2,1,4,10,5,Y,Eddie Mathews
8240,matheed01,1962,1,ML1,NL,152,536,106,142,25,6,29,90,4,2,101,90,7,2,0,4,11,5,Y,Eddie Mathews
8395,matheed01,1963,1,ML1,NL,158,547,82,144,27,4,23,84,3,4,124,119,14,1,0,3,9,5,Y,Eddie Mathews
8572,matheed01,1964,1,ML1,NL,141,502,83,117,19,1,23,74,2,2,85,100,5,1,0,2,8,5,Y,Eddie Mathews
8785,matheed01,1965,1,ML1,NL,156,546,77,137,23,0,32,95,1,0,73,110,7,3,1,3,11,5,Y,Eddie Mathews
8998,matheed01,1966,1,ATL,NL,134,452,72,113,21,4,16,53,1,1,63,82,6,0,1,1,6,5,Y,Eddie Mathews
9221,matheed01,1967,1,HOU,NL,101,328,39,78,13,2,10,38,2,4,48,65,12,1,2,4,5,5,Y,Eddie Mathews
9222,matheed01,1967,2,DET,AL,36,108,14,25,3,0,6,19,0,0,15,23,0,2,1,2,1,5,Y,Eddie Mathews
9451,matheed01,1968,1,DET,AL,31,52,4,11,0,0,3,8,0,0,5,12,1,0,0,0,0,5,Y,Eddie Mathews
6148,miksied01,1944,1,BRO,NL,26,91,12,20,2,0,0,11,4,,6,11,,0,1,,1,1,N,Eddie Miksis
6328,miksied01,1946,1,BRO,NL,23,48,3,7,0,0,0,5,0,,3,3,,1,1,,2,1,N,Eddie Miksis
6441,miksied01,1947,1,BRO,NL,45,86,18,23,1,0,4,10,0,,9,8,,0,0,,2,1,N,Eddie Miksis
6550,miksied01,1948,1,BRO,NL,86,221,28,47,7,1,2,16,5,,19,27,,1,3,,1,1,N,Eddie Miksis
6665,miksied01,1949,1,BRO,NL,50,113,17,25,5,0,1,6,3,,7,8,,0,7,,4,1,N,Eddie Miksis
6783,miksied01,1950,1,BRO,NL,51,76,13,19,2,1,2,10,3,,5,10,,0,6,,2,1,N,Eddie Miksis
6894,miksied01,1951,1,BRO,NL,19,10,6,2,1,0,0,0,0,0,1,2,,1,0,,0,1,N,Eddie Miksis
6895,miksied01,1951,2,CHN,NL,102,421,48,112,13,3,4,35,11,5,33,36,,0,7,,10,1,N,Eddie Miksis
7014,miksied01,1952,1,CHN,NL,93,383,44,89,20,1,2,19,4,4,20,32,,1,3,,7,1,N,Eddie Miksis
7134,miksied01,1953,1,CHN,NL,142,577,61,145,17,6,8,39,13,4,33,59,,1,13,,18,1,N,Eddie Miksis
7245,miksied01,1954,1,CHN,NL,38,99,9,20,3,0,2,3,1,0,3,9,,0,2,0,2,1,N,Eddie Miksis
7367,miksied01,1955,1,CHN,NL,131,481,52,113,14,2,9,41,3,6,32,55,3,0,10,1,11,1,N,Eddie Miksis
7495,miksied01,1956,1,CHN,NL,114,356,54,85,10,3,9,27,4,2,32,40,2,1,5,1,10,1,N,Eddie Miksis
7613,miksied01,1957,1,SLN,NL,49,38,3,8,0,0,1,2,0,0,7,7,1,0,0,0,2,1,N,Eddie Miksis
7614,miksied01,1957,2,BAL,AL,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,N,Eddie Miksis
7740,miksied01,1958,1,BAL,AL,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,N,Eddie Miksis
7741,miksied01,1958,2,CIN,NL,69,50,15,7,0,0,0,4,1,1,5,5,0,0,4,0,2,1,N,Eddie Miksis
12114,murraed02,1977,1,BAL,AL,160,611,81,173,29,2,27,88,0,1,48,104,6,1,0,6,22,1,Y,Eddie Murray
12388,murraed02,1978,1,BAL,AL,161,610,85,174,32,3,27,95,6,5,70,97,7,1,1,8,15,1,Y,Eddie Murray
12645,murraed02,1979,1,BAL,AL,159,606,90,179,30,2,25,99,10,2,72,78,9,2,1,6,16,1,Y,Eddie Murray
12904,murraed02,1980,1,BAL,AL,158,621,100,186,36,2,32,116,7,2,54,71,10,2,0,6,18,1,Y,Eddie Murray
13152,murraed02,1981,1,BAL,AL,99,378,57,111,21,2,22,78,2,3,40,43,10,1,0,3,10,1,Y,Eddie Murray
13417,murraed02,1982,1,BAL,AL,151,550,87,174,30,1,32,110,7,2,70,82,18,1,0,6,17,1,Y,Eddie Murray
13664,murraed02,1983,1,BAL,AL,156,582,115,178,30,3,33,111,5,1,86,90,13,3,0,9,13,1,Y,Eddie Murray
13905,murraed02,1984,1,BAL,AL,162,588,97,180,26,3,29,110,10,2,107,87,25,2,0,8,9,1,Y,Eddie Murray
14150,murraed02,1985,1,BAL,AL,156,583,111,173,37,1,31,124,5,2,84,68,12,2,0,8,8,1,Y,Eddie Murray
14394,murraed02,1986,1,BAL,AL,137,495,61,151,25,1,17,84,3,0,78,49,7,0,0,5,17,1,Y,Eddie Murray
14638,murraed02,1987,1,BAL,AL,160,618,89,171,28,3,30,91,1,2,73,80,6,0,0,3,15,1,Y,Eddie Murray
14877,murraed02,1988,1,BAL,AL,161,603,75,171,27,2,28,84,5,2,75,78,8,0,0,3,20,1,Y,Eddie Murray
15114,murraed02,1989,1,LAN,NL,160,594,66,147,29,1,20,88,7,2,87,85,24,2,0,7,12,1,Y,Eddie Murray
15346,murraed02,1990,1,LAN,NL,155,558,96,184,22,3,26,95,8,5,82,64,21,1,0,4,19,1,Y,Eddie Murray
15573,murraed02,1991,1,LAN,NL,153,576,69,150,23,1,19,96,10,3,55,74,17,0,0,8,17,1,Y,Eddie Murray
15804,murraed02,1992,1,NYN,NL,156,551,64,144,37,2,16,93,4,2,66,74,8,0,0,8,15,1,Y,Eddie Murray
16045,murraed02,1993,1,NYN,NL,154,610,77,174,28,1,27,100,2,2,40,61,4,0,0,9,24,1,Y,Eddie Murray
16280,murraed02,1994,1,CLE,AL,108,433,57,110,21,1,17,76,8,4,31,53,6,0,0,3,8,1,Y,Eddie Murray
16513,murraed02,1995,1,CLE,AL,113,436,68,141,21,0,21,82,5,1,39,65,5,0,0,5,12,1,Y,Eddie Murray
16749,murraed02,1996,1,CLE,AL,88,336,33,88,9,1,12,45,3,0,34,45,2,0,0,4,13,1,Y,Eddie Murray
