,playerID,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,years,inducted,name
12768,bumbral01,1980,1,BAL,AL,160,645,118,205,29,9,9,53,44,11,78,75,8,3,9,3,9,1,N,Al Bumbry
13019,bumbral01,1981,1,BAL,AL,101,392,61,107,18,2,1,27,22,15,51,51,2,2,4,2,6,1,N,Al Bumbry
13276,bumbral01,1982,1,BAL,AL,150,562,77,147,20,4,5,40,10,5,44,77,4,0,10,2,12,1,N,Al Bumbry
13539,bumbral01,1983,1,BAL,AL,124,378,63,104,14,4,3,31,12,5,31,33,2,0,4,3,1,1,N,Al Bumbry
13784,bumbral01,1984,1,BAL,AL,119,344,47,93,12,1,3,24,9,5,25,35,0,0,2,3,11,1,N,Al Bumbry
14030,bumbral01,1985,1,SDN,NL,68,95,6,19,3,0,1,10,2,0,7,9,0,0,1,0,4,1,N,Al Bumbry
6277,darkal01,1946,1,BSN,NL,15,13,0,3,3,0,0,1,0,,0,3,,0,0,,0,16,N,Al Dark
6511,darkal01,1948,1,BSN,NL,137,543,85,175,39,6,3,48,4,,24,36,,2,10,,4,16,N,Al Dark
6620,darkal01,1949,1,BSN,NL,130,529,74,146,23,5,3,53,5,,31,43,,1,11,,10,16,N,Al Dark
6737,darkal01,1950,1,NY1,NL,154,587,79,164,36,5,16,67,9,,39,60,,6,11,,10,16,N,Al Dark
6850,darkal01,1951,1,NY1,NL,156,646,114,196,41,7,14,69,12,7,42,39,,6,6,,11,16,N,Al Dark
6963,darkal01,1952,1,NY1,NL,151,589,92,177,29,3,14,73,6,6,47,39,,5,8,,10,16,N,Al Dark
7083,darkal01,1953,1,NY1,NL,155,647,126,194,41,6,23,88,7,2,28,34,,6,12,,19,16,N,Al Dark
7198,darkal01,1954,1,NY1,NL,154,644,98,189,26,6,20,70,5,3,27,40,,5,12,5,16,16,N,Al Dark
7316,darkal01,1955,1,NY1,NL,115,475,77,134,20,3,9,45,2,1,22,32,2,5,4,2,5,16,N,Al Dark
7436,darkal01,1956,1,NY1,NL,48,206,19,52,12,0,2,17,0,0,8,13,0,1,3,4,5,16,N,Al Dark
7437,darkal01,1956,2,SLN,NL,100,413,54,118,14,7,4,37,3,1,21,33,0,2,2,4,9,16,N,Al Dark
7561,darkal01,1957,1,SLN,NL,140,583,80,169,25,8,4,64,3,4,29,56,4,4,5,4,7,16,N,Al Dark
7687,darkal01,1958,1,SLN,NL,18,64,7,19,0,0,1,5,0,0,2,6,0,0,0,0,3,16,N,Al Dark
7688,darkal01,1958,2,CHN,NL,114,464,54,137,16,4,3,43,1,1,29,23,1,5,2,6,13,16,N,Al Dark
7812,darkal01,1959,1,CHN,NL,136,477,60,126,22,9,6,45,1,1,55,50,9,3,7,3,4,16,N,Al Dark
7942,darkal01,1960,1,PHI,NL,55,198,29,48,5,1,3,14,1,1,19,14,2,2,2,0,5,16,N,Al Dark
7943,darkal01,1960,2,ML1,NL,50,141,16,42,6,2,1,18,0,0,7,13,2,1,0,3,3,16,N,Al Dark
8071,downial01,1961,1,NYA,AL,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,N,Al Downing
8202,downial01,1962,1,NYA,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,N,Al Downing
8347,downial01,1963,1,NYA,AL,24,58,4,6,2,0,0,2,0,0,3,31,0,0,3,0,0,1,N,Al Downing
8520,downial01,1964,1,NYA,AL,40,85,5,15,1,1,0,7,0,0,4,33,0,0,4,0,2,1,N,Al Downing
8721,downial01,1965,1,NYA,AL,36,74,4,8,2,0,1,7,0,0,3,30,0,0,6,0,0,1,N,Al Downing
8933,downial01,1966,1,NYA,AL,30,70,4,7,0,1,0,7,0,0,4,30,0,0,5,0,2,1,N,Al Downing
9154,downial01,1967,1,NYA,AL,31,66,5,8,1,0,1,2,0,0,5,29,0,0,1,0,3,1,N,Al Downing
9385,downial01,1968,1,NYA,AL,15,17,1,3,0,0,0,1,0,0,1,10,0,0,0,0,1,1,N,Al Downing
9627,downial01,1969,1,NYA,AL,30,44,2,6,1,0,0,5,0,0,2,17,0,0,2,0,0,1,N,Al Downing
9898,downial01,1970,1,OAK,AL,10,11,0,2,0,0,0,1,0,0,0,5,0,0,1,0,0,1,N,Al Downing
9899,downial01,1970,2,ML4,AL,17,24,0,2,0,0,0,1,0,0,0,12,0,0,7,0,0,1,N,Al Downing
